i,j,nx,ny,nz
19,3,-0.3658779043855138,-0.8324458379772467,0.4161337356149155
20,3,-0.3426352771850121,-0.8473463130421272,0.4057157781036664
21,3,-0.31806227638771506,-0.8614824458285077,0.3958337831317549
22,3,-0.2922046304855057,-0.8747499541053562,0.3865604373387252
23,3,-0.26512312407077365,-0.8870458281903225,0.3779674956568333
24,3,-0.2368938356346595,-0.898270064643137,0.37012457579079155
25,3,-0.207608029602164,-0.9083274878511705,0.3630978943187206
26,3,-0.17737167032161594,-0.9171296066116439,0.35694898128961133
27,3,-0.14630453934252655,-0.9245964451496207,0.3517334152230286
28,3,-0.11453895374264306,-0.9306582829913917,0.3474996235610267
29,3,-0.08221810165422173,-0.9352572364723459,0.34428779441985224
30,3,-0.049494030336396225,-0.9383486169256794,0.3421289436378111
31,3,-0.016525340761348206,-0.9399020070050371,0.34104417652354696
32,3,0.016525340761348158,-0.9399020070050371,0.34104417652354696
33,3,0.04949403033639623,-0.9383486169256794,0.34212894363781104
34,3,0.08221810165422178,-0.9352572364723459,0.3442877944198522
35,3,0.11453895374264306,-0.9306582829913917,0.34749962356102665
36,3,0.1463045393425265,-0.9245964451496207,0.35173341522302853
37,3,0.17737167032161588,-0.9171296066116439,0.35694898128961133
38,3,0.20760802960216398,-0.9083274878511705,0.3630978943187206
39,3,0.23689383563465952,-0.8982700646431371,0.3701245757907916
40,3,0.26512312407077365,-0.8870458281903225,0.3779674956568333
41,3,0.29220463048550577,-0.8747499541053562,0.38656043733872525
42,3,0.31806227638771506,-0.8614824458285077,0.39583378313175493
43,3,0.34263527718501213,-0.847346313042127,0.40571577810366644
44,3,0.3658779043855138,-0.8324458379772469,0.41613373561491546
45,3,0.38775894461579585,-0.8168849730348509,0.4270151539469005
46,3,0.40826090483131167,-0.8007659027141882,0.4382887206358956
47,3,0.4273790165011945,-0.7841877922389535,0.4498851884179649
48,3,0.4451200919000433,-0.7672457351641434,0.4617381137174296
49,3,0.46150128342812063,-0.7500299031427762,0.47378445498542404
50,3,0.47654879268694866,-0.7326248932775835,0.4859650336584115
51,3,0.49029657045954694,-0.7151092622639142,0.49822486491539836
52,3,0.5027850423530311,-0.6975552318921994,0.5105133687239549
53,3,0.5140598881577804,-0.6800285473550707,0.5227844739176585
54,3,0.5241708963670557,-0.6625884680506448,0.5349966293427064
55,3,0.5331709088674226,-0.6452878700871353,0.5471127366968302
56,3,0.5411148585764095,-0.6281734429033579,0.5591000227676386
57,3,0.5480587497021062,-0.6112860280345728,0.5709299421160879
58,3,0.5540557876703368,-0.5946623163866616,0.582579534157056
59,3,0.559110176596536,-0.5783555787871569,0.5940544040001413
60,3,0.5626667026925137,-0.5626667026925138,0.6056503639578436
61,3,0.5594425752106873,-0.5500256901128759,0.6200772091098731
62,3,0.51641331558438,-0.5542511600007168,0.6527809273600199
63,3,0.29905148048703317,-0.6066633661546872,0.7365648458787438
0,4,-0.30940988346337617,-0.6072248810854641,0.7318083545614411
1,4,-0.5309658118289055,-0.5512431481866288,0.6435886094751565
2,4,-0.574750613526713,-0.5463039388979103,0.6092731231519204
3,4,-0.5783555787871568,-0.5591101765965361,0.5940544040001413
4,4,-0.5751289033218479,-0.575128903321848,0.5817675559255749
5,4,-0.5703794238423302,-0.5918126480747464,0.5695832708533914
6,4,-0.5646600270329766,-0.6088480563763017,0.5571921554705506
7,4,-0.5579615959931333,-0.6261813445521077,0.544587716655187
8,4,-0.55022550901223,-0.6437760326356751,0.5317934834464436
9,4,-0.541389998920284,-0.6615911685968365,0.5188390836316853
10,4,-0.5313940749457001,-0.6795794985146142,0.5057588776395617
11,4,-0.520178605893457,-0.6976870572887234,0.4925921112467607
12,4,-0.5076873647589022,-0.7158529061187017,0.4793830998956586
13,4,-0.4938681866239716,-0.7340089681880244,0.46618134761088637
14,4,-0.4786742377482954,-0.7520799832662318,0.45304157964402436
15,4,-0.46206538064845415,-0.7699836057501936,0.4400236708202523
16,4,-0.44400961240990167,-0.7876306705272853,0.42719245186724447
17,4,-0.42448454553421255,-0.8049256494543305,0.4146173771721793
18,4,-0.40347889241875917,-0.8217673180424464,0.4023720397466207
19,4,-0.38099390657994675,-0.8380496469119295,0.39053352283733744
20,4,-0.3570447265785611,-0.8536629256169199,0.3791815826877696
21,4,-0.3316615629990008,-0.868495117556596,0.3683976634147052
22,4,-0.30489066553817373,-0.88243343408242,0.3582637526755907
23,4,-0.276795007024824,-0.8953661039769573,0.34886109547390376
24,4,-0.24745462466594303,-0.9071843018309095,0.3402687926375301
25,4,-0.21696656645657816,-0.9177841862938451,0.33256231961692234
26,4,-0.18544440265222423,-0.9270689876906212,0.3258120095810571
27,4,-0.1530172782740781,-0.9349510751319008,0.32008155157599455
28,4,-0.11982850215807063,-0.941353927035232,0.31542655900526273
29,4,-0.08603369000408659,-0.9462139268032811,0.3118932652491806
30,4,-0.05179850179607588,-0.9494819079032641,0.3095174014107437
31,4,-0.017296036152984754,-0.9511243800086996,0.30832330577895245
32,4,0.017296036152984688,-0.9511243800086996,0.30832330577895245
33,4,0.05179850179607587,-0.9494819079032641,0.3095174014107437
34,4,0.08603369000408663,-0.9462139268032811,0.31189326524918054
35,4,0.11982850215807063,-0.941353927035232,0.3154265590052627
36,4,0.1530172782740781,-0.9349510751319008,0.32008155157599455
37,4,0.18544440265222417,-0.9270689876906212,0.3258120095810571
38,4,0.21696656645657814,-0.9177841862938451,0.33256231961692234
39,4,0.24745462466594306,-0.9071843018309097,0.3402687926375302
40,4,0.276795007024824,-0.8953661039769573,0.34886109547390376
41,4,0.30489066553817373,-0.88243343408242,0.3582637526755907
42,4,0.3316615629990007,-0.868495117556596,0.36839766341470515
