i,j,nx,ny,nz
36,54,0.19427954668105193,0.9713977334052599,0.1365353480844015
37,54,0.2349172450613914,0.9610250934329649,0.14575547250421572
38,54,0.27411702688454537,0.9488666315234264,0.1565629942015788
39,54,0.3116883116883007,0.9350649350649018,0.1688311688313736
40,54,0.34747061829329284,0.9197751660704813,0.18242207460418677
41,54,0.3813346713497087,0.9031610637229941,0.19719016557972519
42,54,0.4131824889325943,0.8853910477127017,0.2129857353666459
43,54,0.4429465575348861,0.8666345690899944,0.22965816080904633
44,54,0.47058823529409505,0.8470588235293712,0.24705882352959418
45,54,0.4960955443270305,0.8268259072117177,0.26504363803416886
46,54,0.519480519480492,0.8060904612628325,0.283475145544283
47,54,0.5407762756214267,0.7849978194504581,0.30222416048860934
48,54,0.5600339414509649,0.7636826474331337,0.32117098005955835
49,54,0.5773195876288315,0.7422680412370691,0.3402061855671654
50,54,0.5927112535041686,0.7208650380456103,0.359231077292901
51,54,0.6062961523513025,0.699572483482272,0.37815779246030706
52,54,0.6181681115717652,0.6784771956275472,0.39690915944227945
53,54,0.628425283156699,0.65765436609422,0.4154183412496763
54,54,0.6371681415928769,0.6371681415928769,0.43362831858419837
55,54,0.6444977716831914,0.6170723345902897,0.4514912581420491
56,54,0.6505144374377239,0.5974112180550525,0.4689678061733666
57,54,0.6553164150336828,0.5782203662061906,0.48602634115012855
58,54,0.6589990674541023,0.5595275101025395,0.5026422132422586
59,54,0.6616541353382976,0.5413533834586072,0.5187969924813058
60,54,0.6633692173406553,0.5237125400057805,0.5344777422171483
61,54,0.6642274134533706,0.506614128905113,0.5496763298621825
62,54,0.6643071059079276,0.4900626191124056,0.5643887830112525
63,54,0.6636818540952888,0.4740584672109205,0.5786146958125696
0,55,-0.6479814862432017,0.48341475957826135,0.5885831833377022
1,55,-0.6480743691898587,0.4993359893757926,0.5750332005312956
2,55,-0.6474622770918584,0.5157750342935146,0.5610425240055779
3,55,-0.6460753754604227,0.5327288183621027,0.5466137716067825
4,55,-0.6438396254023525,0.5501902253438284,0.5317529997074448
5,55,-0.6406769416741752,0.5681474765789853,0.5164702326988041
6,55,-0.6365054602183629,0.5865834633384911,0.5007800312013561
7,55,-0.6312399355877166,0.6054750402576057,0.48470209339785847
8,55,-0.6247922897972308,0.6247922897972309,0.46826188102371336
9,55,-0.6170723345902897,0.6444977716831916,0.4514912581420491
10,55,-0.6079886885824966,0.6645457758924963,0.434429126900092
11,55,-0.5974499089252789,0.6848816029143437,0.41712204007299236
12,55,-0.5853658536584982,0.7054409005628055,0.3996247654785617
13,55,-0.5716492854383567,0.7261490923135883,0.38200077249917724
14,55,-0.5562177195073155,0.7469209376241093,0.36432260627746227
15,55,-0.5389955083707311,0.7676602694977079,0.34667211106589446
16,55,-0.5199161425576216,0.7882599580712327,0.32914046121609125
17,55,-0.49892473118276753,0.8086021505375888,0.31182795698941096
18,55,-0.4759806081974177,0.8285588364918016,0.2948435434113629
19,55,-0.4510599909787768,0.8479927830401,0.27830401443409314
20,55,-0.4241585984324363,0.8667588750575866,0.2623328722915566
21,55,-0.3952941176470398,0.8847058823528988,0.2470588235295942
22,55,-0.364508393285355,0.9016786570742992,0.23261390887308836
23,55,-0.3318692044899807,0.9175207418252403,0.21913128355314315
24,55,-0.2974714923153073,0.932077342587963,0.2067426871593412
25,55,-0.2614379084967215,0.9451985922573779,0.1955756661640987
26,55,-0.22391857506360457,0.9567430025444925,0.18575063613251566
27,55,-0.18508997429305227,0.9665809768637175,0.17737789203105092
28,55,-0.14515292897874021,0.9745982374286846,0.17055469155023037
29,55,-0.10432968179446696,0.9806990088679887,0.16536254564444167
30,55,-0.06286013619695965,0.9848088004190337,0.1618648507073835
31,55,-0.020997375328083268,0.9868766404199139,0.16010498687684788
32,55,0.02099737532808317,0.9868766404199139,0.16010498687684788
33,55,0.06286013619695954,0.9848088004190337,0.16186485070738346
34,55,0.10432968179446686,0.9806990088679887,0.16536254564444167
35,55,0.14515292897874035,0.9745982374286846,0.17055469155023037
36,55,0.18508997429305235,0.9665809768637174,0.1773778920310509
37,55,0.22391857506360466,0.9567430025444924,0.18575063613251563
38,55,0.26143790849672166,0.9451985922573779,0.19557566616409872
39,55,0.2974714923153074,0.9320773425879629,0.2067426871593412
40,55,0.3318692044899806,0.9175207418252405,0.21913128355314315
41,55,0.3645083932853549,0.9016786570742992,0.23261390887308836
42,55,0.39529411764703987,0.8847058823528987,0.24705882352959418
43,55,0.4241585984324362,0.8667588750575868,0.2623328722915566
44,55,0.45105999097877664,0.8479927830401,0.2783040144340931
45,55,0.4759806081974179,0.8285588364918016,0.29484354341136293
46,55,0.49892473118276764,0.8086021505375887,0.31182795698941096
47,55,0.5199161425576216,0.7882599580712327,0.32914046121609125
48,55,0.5389955083707312,0.7676602694977078,0.34667211106589446
49,55,0.5562177195073155,0.7469209376241093,0.36432260627746227
50,55,0.5716492854383567,0.7261490923135883,0.38200077249917724
51,55,0.5853658536584982,0.7054409005628055,0.3996247654785617
52,55,0.5974499089252788,0.6848816029143439,0.41712204007299236
53,55,0.6079886885824967,0.6645457758924963,0.434429126900092
54,55,0.6170723345902897,0.6444977716831914,0.4514912581420491
55,55,0.6247922897972309,0.6247922897972309,0.46826188102371336
56,55,0.6312399355877166,0.6054750402576057,0.48470209339785847
57,55,0.6365054602183629,0.5865834633384911,0.5007800312013561
58,55,0.6406769416741751,0.5681474765789855,0.5164702326988041
59,55,0.6438396254023524,0.5501902253438286,0.5317529997074448
60,55,0.6460753754604226,0.5327288183621027,0.5466137716067825
61,55,0.6474622770918586,0.5157750342935145,0.5610425240055779
62,55,0.6480743691898586,0.4993359893757926,0.5750332005312955
63,55,0.6479814862432016,0.48341475957826147,0.5885831833377022
0,56,-0.6323713927226627,0.4918444165620709,0.5984943538269312
1,56,-0.6319606319605846,0.5076405076404698,0.5855995855996697
2,56,-0.6308473670141204,0.523924084469354,0.5723068698209912
3,56,-0.6289655172413325,0.5406896551723736,0.558620689655264
4,56,-0.6262453743238934,0.5579276971249232,0.544548818673594
5,56,-0.6226138032304975,0.5756240822319696,0.530102790014784
6,56,-0.6179945471068923,0.5937594668281907,0.5152983944260355
7,56,-0.6123086535457227,0.6123086535457228,0.5001562011872372
8,56,-0.6054750402576056,0.6312399355877167,0.48470209339785847
9,56,-0.5974112180550525,0.6505144374377239,0.4689678061733666
10,56,-0.5880341880341472,0.6700854700854235,0.4529914529915751
11,56,-0.5772615276310763,0.6898979232664084,0.4368180218234284
12,56,-0.5650126765664234,0.7098877218398655,0.420499818906325
13,56,-0.551210428305364,0.7299813780260227,0.4040968342645684
14,56,-0.5357826253348295,0.7500956754687617,0.38767699961743923
15,56,-0.5186640471512441,0.7701375245579084,0.3713163064834467
16,56,-0.4997984683595018,0.790004030632761,0.3550987505039798
17,56,-0.47914085088803415,0.8095828170177131,0.33911606774075875
18,56,-0.4566596194502906,0.8287526427060833,0.32346723044413467
19,56,-0.43233895373970777,0.8473843493298272,0.3082576740165935
20,56,-0.4061810154525167,0.8653421633553614,0.29359823399575374
21,56,-0.3782080144079044,0.8824853669517773,0.27960378208031705
22,56,-0.3484640073360667,0.8986703347088036,0.26639156350315707
23,56,-0.3170163170163014,0.9137529137528689,0.25407925407943455
24,56,-0.2839564600094517,0.9275911026975425,0.2427827733082766
25,56,-0.24940047961629547,0.9400479616306524,0.2326139088730884
26,56,-0.21348859776806434,0.9509946627850134,0.22367782629810307
27,56,-0.17638412542870385,0.9603135717784983,0.21607055365036287
28,56,-0.13827160493826576,0.9679012345678603,0.2098765432100698
29,56,-0.0993541977148494,0.9736711376055233,0.205166418281367
30,56,-0.05985037406483551,0.9775561097256456,0.2019950124690234
31,56,-0.019990004997500446,0.9795102448775211,0.20039980010014616
32,56,0.01999000499750035,0.9795102448775211,0.20039980010014616
33,56,0.05985037406483542,0.9775561097256456,0.2019950124690234
34,56,0.0993541977148493,0.9736711376055233,0.205166418281367
35,56,0.13827160493826568,0.9679012345678603,0.2098765432100698
36,56,0.17638412542870377,0.9603135717784983,0.21607055365036287
37,56,0.21348859776806423,0.9509946627850134,0.22367782629810307
38,56,0.24940047961629555,0.9400479616306523,0.23261390887308836
39,56,0.2839564600094518,0.9275911026975424,0.2427827733082766
40,56,0.3170163170163015,0.9137529137528689,0.25407925407943455
41,56,0.34846400733606664,0.8986703347088036,0.26639156350315707
42,56,0.3782080144079045,0.8824853669517773,0.27960378208031705
43,56,0.40618101545251667,0.8653421633553614,0.29359823399575374
44,56,0.43233895373970765,0.8473843493298272,0.3082576740165935
45,56,0.4566596194502907,0.8287526427060832,0.32346723044413467
46,56,0.47914085088803426,0.8095828170177131,0.33911606774075875
47,56,0.4997984683595019,0.790004030632761,0.3550987505039798
48,56,0.5186640471512444,0.7701375245579083,0.3713163064834467
49,56,0.5357826253348297,0.7500956754687617,0.3876769996174393
50,56,0.551210428305364,0.7299813780260227,0.4040968342645684
51,56,0.5650126765664235,0.7098877218398655,0.42049981890632504
52,56,0.5772615276310764,0.6898979232664083,0.4368180218234284
53,56,0.5880341880341472,0.6700854700854235,0.4529914529915751
54,56,0.5974112180550525,0.6505144374377239,0.4689678061733666
55,56,0.6054750402576057,0.6312399355877166,0.48470209339785847
56,56,0.6123086535457228,0.6123086535457228,0.5001562011872372
57,56,0.6179945471068923,0.5937594668281906,0.5152983944260354
58,56,0.6226138032304975,0.5756240822319695,0.530102790014784
59,56,0.6262453743238933,0.5579276971249232,0.544548818673594
60,56,0.6289655172413325,0.5406896551723737,0.558620689655264
61,56,0.6308473670141203,0.5239240844693541,0.5723068698209912
62,56,0.6319606319605846,0.5076405076404696,0.5855995855996697
63,56,0.6323713927226627,0.4918444165620709,0.5984943538269312
0,57,-0.6168910648714346,0.4993880048959233,0.6083231334150105
1,57,-0.6160060590759446,0.5150214592274294,0.5960616006059889
2,57,-0.6144233272584805,0.5311116896641102,0.5834418120282022
3,57,-0.612080536912706,0.5476510067113687,0.5704697986578064
4,57,-0.6089122612786705,0.5646277331856763,0.5571547190701168
5,57,-0.604850213979984,0.5820256776033805,0.5435092724679988
6,57,-0.5998235812995736,0.5998235812995737,0.5295501323141252
7,57,-0.5937594668281906,0.6179945471068923,0.5152983944260354
8,57,-0.5865834633384913,0.6365054602183627,0.5007800312013561
9,57,-0.5782203662061906,0.6553164150336828,0.48602634115012855
10,57,-0.568595041322274,0.6743801652892085,0.47107438016540604
11,57,-0.5576334580074418,0.6936416184970614,0.45596735804160354
12,57,-0.5452638937434087,0.7130373995106117,0.44075498077607805
13,57,-0.5314183123877557,0.7324955116696095,0.42549371633765254
14,57,-0.5160339107998184,0.7519351271654495,0.41024695908601727
15,57,-0.4990548204158468,0.7712665406426719,0.3950850661627099
16,57,-0.4804339403331734,0.7903913211932857,0.38008523827988006
17,57,-0.460134867116195,0.8092026973422741,0.3653312177708738
18,57,-0.43813387423932426,0.8275862068965014,0.3509127789048175
19,57,-0.41442188147531717,0.8454206382096474,0.33692498963960904
20,57,-0.389006342494692,0.8625792811838826,0.32346723044413467
21,57,-0.36191296854801913,0.8789314950451897,0.31064196467056454
22,57,-0.33318719859708834,0.8943445857079737,0.2985532661115221
23,57,-0.3028953229398503,0.9086859688195505,0.28730512249460277
24,57,-0.27112516945321685,0.9218255761409371,0.27699954812489125
25,57,-0.23798627002287123,0.9336384439358792,0.26773455377592015
26,57,-0.20360944007402967,0.9440074039795922,0.25960203609457966
27,57,-0.16814572629611516,0.9528257823446522,0.2526856609062995
28,57,-0.13176470588234657,0.959999999999954,0.24705882352959418
29,57,-0.09465215333648393,0.9654519640321361,0.2427827733082766
30,57,-0.05700712589073369,0.9691211401424724,0.23990498812369987
31,57,-0.01903855306996588,0.9709662065682555,0.2384578772015177
32,57,0.019038553069965783,0.9709662065682555,0.2384578772015177
33,57,0.0570071258907336,0.9691211401424724,0.23990498812369987
34,57,0.09465215333648384,0.9654519640321361,0.2427827733082766
35,57,0.13176470588234668,0.959999999999954,0.24705882352959418
36,57,0.1681457262961151,0.9528257823446522,0.2526856609062995
37,57,0.2036094400740296,0.9440074039795922,0.25960203609457966
38,57,0.23798627002287112,0.9336384439358794,0.26773455377592015
39,57,0.27112516945321674,0.9218255761409371,0.27699954812489125
40,57,0.30289532293985016,0.9086859688195505,0.28730512249460277
41,57,0.33318719859708823,0.8943445857079737,0.2985532661115221
42,57,0.36191296854801924,0.8789314950451897,0.31064196467056454
43,57,0.3890063424946921,0.8625792811838825,0.32346723044413467
44,57,0.41442188147531733,0.8454206382096474,0.3369249896396091
45,57,0.4381338742393244,0.8275862068965014,0.3509127789048175
46,57,0.46013486711619506,0.809202697342274,0.36533121777087374
47,57,0.4804339403331735,0.7903913211932856,0.38008523827988006
48,57,0.49905482041584653,0.771266540642672,0.39508506616270983
49,57,0.5160339107998183,0.7519351271654496,0.41024695908601727
50,57,0.5314183123877558,0.7324955116696094,0.42549371633765254
51,57,0.5452638937434089,0.7130373995106116,0.44075498077607805
52,57,0.5576334580074416,0.6936416184970615,0.45596735804160354
53,57,0.5685950413222739,0.6743801652892085,0.471074380165406
54,57,0.5782203662061906,0.6553164150336828,0.48602634115012855
55,57,0.5865834633384912,0.6365054602183627,0.5007800312013561
56,57,0.5937594668281906,0.6179945471068923,0.5152983944260354
57,57,0.5998235812995737,0.5998235812995737,0.5295501323141252
